Matricula ; Cargo ; Mês Pag. ; Evento ; Descrição ; Tipo ; Valor
1182;VENDEDOR INTERNACIONAL;fev/20;1;Horas Normais;Provento;4.588,62
1182;VENDEDOR INTERNACIONAL;fev/20;5;Horas Férias Diurnas;Provento;1.147,15
1182;VENDEDOR INTERNACIONAL;fev/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1182;VENDEDOR INTERNACIONAL;fev/20;233;Desc.Copart. Unimed;Desconto;14,1
1182;VENDEDOR INTERNACIONAL;fev/20;249;Subs. Empresa Alimentação;Outros;300
1182;VENDEDOR INTERNACIONAL;fev/20;552;Média Variáveis Férias;Provento;464,36
1182;VENDEDOR INTERNACIONAL;fev/20;558;1/3 Férias;Provento;537,17
1182;VENDEDOR INTERNACIONAL;fev/20;2000;INSS;Desconto;478,41
1182;VENDEDOR INTERNACIONAL;fev/20;2002;INSS Férias;Desconto;192,7
1182;VENDEDOR INTERNACIONAL;fev/20;2004;IRRF;Desconto;288,67
1182;VENDEDOR INTERNACIONAL;fev/20;2014;IRRF Férias;Desconto;277,09
1182;VENDEDOR INTERNACIONAL;fev/20;2101;Desconto Adto Férias;Desconto;1.678,89
1182;VENDEDOR INTERNACIONAL;fev/20;2453;Vale Transporte;Desconto;149,6
1182;VENDEDOR INTERNACIONAL;fev/20;2470;Desconto Alimentação;Desconto;1,5
1182;VENDEDOR INTERNACIONAL;fev/20;2478;Desconto Refeição;Desconto;2,5
1182;VENDEDOR INTERNACIONAL;fev/20;2500;FGTS;Outros;538,98
1182;VENDEDOR INTERNACIONAL;fev/20;909091;GPS parte empresa;;1.347,46
1182;VENDEDOR INTERNACIONAL;fev/20;909092;GPS Terceiros;;390,76
1182;VENDEDOR INTERNACIONAL;fev/20;909093;GPS Acidente Trabalho;;185,53
1703;ASS. COMERCIAL EXPORTACAO;fev/20;1;Horas Normais;Provento;2.077,86
1703;ASS. COMERCIAL EXPORTACAO;fev/20;11;Horas Lic.Remuner.Diurna;Provento;519,47
1703;ASS. COMERCIAL EXPORTACAO;fev/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1703;ASS. COMERCIAL EXPORTACAO;fev/20;2000;INSS;Desconto;233,75
1703;ASS. COMERCIAL EXPORTACAO;fev/20;2004;IRRF;Desconto;34,47
1703;ASS. COMERCIAL EXPORTACAO;fev/20;2470;Desconto Alimentação;Desconto;1,5
1703;ASS. COMERCIAL EXPORTACAO;fev/20;2478;Desconto Refeição;Desconto;2,5
1703;ASS. COMERCIAL EXPORTACAO;fev/20;2500;FGTS;Outros;207,78
1703;ASS. COMERCIAL EXPORTACAO;fev/20;909091;GPS parte empresa;;519,47
1703;ASS. COMERCIAL EXPORTACAO;fev/20;909092;GPS Terceiros;;150,65
1703;ASS. COMERCIAL EXPORTACAO;fev/20;909093;GPS Acidente Trabalho;;71,52
1624;VENDEDOR COMEX PL;fev/20;1;Horas Normais;Provento;3.782,52
1624;VENDEDOR COMEX PL;fev/20;5;Horas Férias Diurnas;Provento;945,63
1624;VENDEDOR COMEX PL;fev/20;225;Desc.Dep.Unimed Est Enf;Desconto;312,7
1624;VENDEDOR COMEX PL;fev/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1624;VENDEDOR COMEX PL;fev/20;233;Desc.Copart. Unimed;Desconto;1,41
1624;VENDEDOR COMEX PL;fev/20;552;Média Variáveis Férias;Provento;226,53
1624;VENDEDOR COMEX PL;fev/20;558;1/3 Férias;Provento;390,72
1624;VENDEDOR COMEX PL;fev/20;2000;INSS;Desconto;416,08
1624;VENDEDOR COMEX PL;fev/20;2002;INSS Férias;Desconto;171,91
1624;VENDEDOR COMEX PL;fev/20;2004;IRRF;Desconto;121,73
1624;VENDEDOR COMEX PL;fev/20;2014;IRRF Férias;Desconto;109,33
1624;VENDEDOR COMEX PL;fev/20;2101;Desconto Adto Férias;Desconto;1.281,64
1624;VENDEDOR COMEX PL;fev/20;2470;Desconto Alimentação;Desconto;1,5
1624;VENDEDOR COMEX PL;fev/20;2478;Desconto Refeição;Desconto;2,5
1624;VENDEDOR COMEX PL;fev/20;2500;FGTS;Outros;427,63
1624;VENDEDOR COMEX PL;fev/20;909091;GPS parte empresa;;1.069,08
1624;VENDEDOR COMEX PL;fev/20;909092;GPS Terceiros;;310,03
1624;VENDEDOR COMEX PL;fev/20;909093;GPS Acidente Trabalho;;147,2
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;1;Horas Normais;Provento;4.707,67
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;5;Horas Férias Diurnas;Provento;162,33
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;226;Subs.Emp.Unimed Est. Enf.;Outros;625,4
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;233;Desc.Copart. Unimed;Desconto;4,23
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;246;Desc.Titular OdontoPrev;Desconto;22,04
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;249;Subs. Empresa Alimentação;Outros;300
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;552;Média Variáveis Férias;Provento;10,89
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;558;1/3 Férias;Provento;57,74
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;2000;INSS;Desconto;517,83
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;2002;INSS Férias;Desconto;25,41
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;2004;IRRF;Desconto;263,93
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;2014;IRRF Férias;Desconto;5,29
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;2101;Desconto Adto Férias;Desconto;200,26
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;2469;Farmácia;Desconto;37,49
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;2470;Desconto Alimentação;Desconto;1,5
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;2478;Desconto Refeição;Desconto;2,5
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;2500;FGTS;Outros;395,09
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;909091;GPS parte empresa;;987,73
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;909092;GPS Terceiros;;286,44
1040;SUPERVISOR DE SERVIÇOS CENTRAI;fev/20;909093;GPS Acidente Trabalho;;136
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;1;Horas Normais;Provento;1.061,89
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;3;Desconto Hrs Faltas;Desconto;101,3
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;4;Desc. Horas DSR Faltas ;Desconto;87,4
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;5;Horas Férias Diurnas;Provento;36,62
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;554;Insalubridade Férias;Provento;7,33
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;558;1/3 Férias;Provento;14,65
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;1951;Insalubridade;Provento;212,43
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2000;INSS;Desconto;86,69
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2002;INSS Férias;Desconto;4,69
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2101;Desconto Adto Férias;Desconto;53,91
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2453;Vale Transporte;Desconto;65,91
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2457;Desc. Hrs Atraso ;Desconto;1,91
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2469;Farmácia;Desconto;191,56
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2470;Desconto Alimentação;Desconto;1,5
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2478;Desconto Refeição;Desconto;2,5
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2500;FGTS;Outros;91,38
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;909091;GPS parte empresa;;228,46
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;909092;GPS Terceiros;;66,25
1647;AUXILIAR DE SERVIÇOS GERAIS;fev/20;909093;GPS Acidente Trabalho;;31,46
1686;AUXILIAR DE SERVIÇOS GERAIS;fev/20;1;Horas Normais;Provento;952,04
1686;AUXILIAR DE SERVIÇOS GERAIS;fev/20;11;Horas Lic.Remuner.Diurna;Provento;36,62
1686;AUXILIAR DE SERVIÇOS GERAIS;fev/20;14;Hrs Atestado até 15 dias;Provento;109,85
1686;AUXILIAR DE SERVIÇOS GERAIS;fev/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1686;AUXILIAR DE SERVIÇOS GERAIS;fev/20;233;Desc.Copart. Unimed;Desconto;23,97
1686;AUXILIAR DE SERVIÇOS GERAIS;fev/20;246;Desc.Titular OdontoPrev;Desconto;22,04
1686;AUXILIAR DE SERVIÇOS GERAIS;fev/20;247;Desc. Depend. OdontoPrev;Desconto;22,04
1686;AUXILIAR DE SERVIÇOS GERAIS;fev/20;1951;Insalubridade;Provento;212,43
1686;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2000;INSS;Desconto;104,87
1686;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2453;Vale Transporte;Desconto;65,91
1686;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2470;Desconto Alimentação;Desconto;1,5
1686;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2478;Desconto Refeição;Desconto;2,5
1686;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2500;FGTS;Outros;104,87
1686;AUXILIAR DE SERVIÇOS GERAIS;fev/20;909091;GPS parte empresa;;262,19
1686;AUXILIAR DE SERVIÇOS GERAIS;fev/20;909092;GPS Terceiros;;76,03
1686;AUXILIAR DE SERVIÇOS GERAIS;fev/20;909093;GPS Acidente Trabalho;;36,1
1693;AUXILIAR DE SERVIÇOS GERAIS;fev/20;1;Horas Normais;Provento;1.061,89
1693;AUXILIAR DE SERVIÇOS GERAIS;fev/20;11;Horas Lic.Remuner.Diurna;Provento;36,62
1693;AUXILIAR DE SERVIÇOS GERAIS;fev/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1693;AUXILIAR DE SERVIÇOS GERAIS;fev/20;233;Desc.Copart. Unimed;Desconto;2,82
1693;AUXILIAR DE SERVIÇOS GERAIS;fev/20;246;Desc.Titular OdontoPrev;Desconto;22,04
1693;AUXILIAR DE SERVIÇOS GERAIS;fev/20;1951;Insalubridade;Provento;212,43
1693;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2000;INSS;Desconto;104,03
1693;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2453;Vale Transporte;Desconto;65,91
1693;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2457;Desc. Hrs Atraso ;Desconto;10,49
1693;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2469;Farmácia;Desconto;70,64
1693;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2470;Desconto Alimentação;Desconto;1,5
1693;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2478;Desconto Refeição;Desconto;2,5
1693;AUXILIAR DE SERVIÇOS GERAIS;fev/20;2500;FGTS;Outros;104,03
