Matricula ; Cargo ; Mês Pag. ; Evento ; Descrição ; Tipo ; Valor
1182;VENDEDOR INTERNACIONAL;mar/20;1;Horas Normais;Provento;5.735,78
1182;VENDEDOR INTERNACIONAL;mar/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1182;VENDEDOR INTERNACIONAL;mar/20;233;Desc.Copart. Unimed;Desconto;19,74
1182;VENDEDOR INTERNACIONAL;mar/20;1981;Variavel DPO-Trimestral;Provento;15.838,70
1182;VENDEDOR INTERNACIONAL;mar/20;2000;INSS;Desconto;671,11
1182;VENDEDOR INTERNACIONAL;mar/20;2004;IRRF;Desconto;4.879,07
1182;VENDEDOR INTERNACIONAL;mar/20;2453;Vale Transporte;Desconto;122,4
1182;VENDEDOR INTERNACIONAL;mar/20;2470;Desconto Alimentação;Desconto;1,5
1182;VENDEDOR INTERNACIONAL;mar/20;2478;Desconto Refeição;Desconto;2,5
1182;VENDEDOR INTERNACIONAL;mar/20;2500;FGTS;Outros;1.725,95
1182;VENDEDOR INTERNACIONAL;mar/20;909091;GPS parte empresa;;4.314,90
1182;VENDEDOR INTERNACIONAL;mar/20;909092;GPS Terceiros;;1.251,32
1182;VENDEDOR INTERNACIONAL;mar/20;909093;GPS Acidente Trabalho;;594,1
1703;ASS. COMERCIAL EXPORTACAO;mar/20;1;Horas Normais;Provento;2.597,33
1703;ASS. COMERCIAL EXPORTACAO;mar/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1703;ASS. COMERCIAL EXPORTACAO;mar/20;233;Desc.Copart. Unimed;Desconto;1,41
1703;ASS. COMERCIAL EXPORTACAO;mar/20;2000;INSS;Desconto;233,75
1703;ASS. COMERCIAL EXPORTACAO;mar/20;2004;IRRF;Desconto;34,47
1703;ASS. COMERCIAL EXPORTACAO;mar/20;2470;Desconto Alimentação;Desconto;1,5
1703;ASS. COMERCIAL EXPORTACAO;mar/20;2478;Desconto Refeição;Desconto;2,5
1703;ASS. COMERCIAL EXPORTACAO;mar/20;2500;FGTS;Outros;207,78
1703;ASS. COMERCIAL EXPORTACAO;mar/20;909091;GPS parte empresa;;519,47
1703;ASS. COMERCIAL EXPORTACAO;mar/20;909092;GPS Terceiros;;150,65
1703;ASS. COMERCIAL EXPORTACAO;mar/20;909093;GPS Acidente Trabalho;;71,52
1624;VENDEDOR COMEX PL;mar/20;225;Desc.Dep.Unimed Est Enf;Desconto;312,7
1624;VENDEDOR COMEX PL;mar/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1624;VENDEDOR COMEX PL;mar/20;233;Desc.Copart. Unimed;Desconto;5,64
1624;VENDEDOR COMEX PL;mar/20;650;Férias Vencidas Rescisão;Provento;1.576,05
1624;VENDEDOR COMEX PL;mar/20;651;Férias Proporc.Rescisão;Provento;788,03
1624;VENDEDOR COMEX PL;mar/20;653;Média V.Variáv.Férias Res;Provento;1.242,88
1624;VENDEDOR COMEX PL;mar/20;659;1/3 Férias Rescisão;Provento;1.202,32
1624;VENDEDOR COMEX PL;mar/20;850;13o Salário Proporc.Resc;Provento;788,03
1624;VENDEDOR COMEX PL;mar/20;852;Média Variáveis 13o Prop.;Provento;865,32
1624;VENDEDOR COMEX PL;mar/20;1000;Aviso Prévio Reavido;Desconto;2.364,08
1624;VENDEDOR COMEX PL;mar/20;1550;Saldo de Salário;Provento;4.412,94
1624;VENDEDOR COMEX PL;mar/20;1981;Variavel DPO-Trimestral;Provento;10.383,87
1624;VENDEDOR COMEX PL;mar/20;2000;INSS;Desconto;671,11
1624;VENDEDOR COMEX PL;mar/20;2003;INSS 13o Salário;Desconto;132,26
1624;VENDEDOR COMEX PL;mar/20;2004;IRRF;Desconto;2.963,07
1624;VENDEDOR COMEX PL;mar/20;2454;Líquido Rescisão;Desconto;14.806,58
1624;VENDEDOR COMEX PL;mar/20;2470;Desconto Alimentação;Desconto;1,5
1624;VENDEDOR COMEX PL;mar/20;2478;Desconto Refeição;Desconto;2,5
1624;VENDEDOR COMEX PL;mar/20;2500;FGTS;Outros;1.183,74
1624;VENDEDOR COMEX PL;mar/20;2505;FGTS 13o Salário;Outros;132,26
1624;VENDEDOR COMEX PL;mar/20;909091;GPS parte empresa;;3.290,03
1624;VENDEDOR COMEX PL;mar/20;909092;GPS Terceiros;;954,1
1624;VENDEDOR COMEX PL;mar/20;909093;GPS Acidente Trabalho;;452,99
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mar/20;1;Horas Normais;Provento;4.870,00
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mar/20;226;Subs.Emp.Unimed Est. Enf.;Outros;625,4
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mar/20;246;Desc.Titular OdontoPrev;Desconto;22,04
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mar/20;1981;Variavel DPO-Trimestral;Provento;1.287,03
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mar/20;2000;INSS;Desconto;671,11
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mar/20;2004;IRRF;Desconto;587,13
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mar/20;2470;Desconto Alimentação;Desconto;1,5
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mar/20;2478;Desconto Refeição;Desconto;2,5
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mar/20;2500;FGTS;Outros;492,56
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mar/20;909091;GPS parte empresa;;1.231,41
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mar/20;909092;GPS Terceiros;;357,11
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mar/20;909093;GPS Acidente Trabalho;;169,55
1647;AUXILIAR DE SERVIÇOS GERAIS;mar/20;1;Horas Normais;Provento;1.098,51
1647;AUXILIAR DE SERVIÇOS GERAIS;mar/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1647;AUXILIAR DE SERVIÇOS GERAIS;mar/20;1951;Insalubridade;Provento;219,75
1647;AUXILIAR DE SERVIÇOS GERAIS;mar/20;1966;Devolução Desc.Indevido;Provento;188,7
1647;AUXILIAR DE SERVIÇOS GERAIS;mar/20;2000;INSS;Desconto;120,35
1647;AUXILIAR DE SERVIÇOS GERAIS;mar/20;2453;Vale Transporte;Desconto;65,91
1647;AUXILIAR DE SERVIÇOS GERAIS;mar/20;2457;Desc. Hrs Atraso ;Desconto;2,5
1647;AUXILIAR DE SERVIÇOS GERAIS;mar/20;2469;Farmácia;Desconto;202,12
1647;AUXILIAR DE SERVIÇOS GERAIS;mar/20;2470;Desconto Alimentação;Desconto;1,5
1647;AUXILIAR DE SERVIÇOS GERAIS;mar/20;2478;Desconto Refeição;Desconto;2,5
1647;AUXILIAR DE SERVIÇOS GERAIS;mar/20;2500;FGTS;Outros;120,35
1647;AUXILIAR DE SERVIÇOS GERAIS;mar/20;909091;GPS parte empresa;;300,89
1647;AUXILIAR DE SERVIÇOS GERAIS;mar/20;909092;GPS Terceiros;;87,26
1647;AUXILIAR DE SERVIÇOS GERAIS;mar/20;909093;GPS Acidente Trabalho;;41,43
1686;AUXILIAR DE SERVIÇOS GERAIS;mar/20;1;Horas Normais;Provento;1.061,89
1686;AUXILIAR DE SERVIÇOS GERAIS;mar/20;14;Hrs Atestado até 15 dias;Provento;36,62
1686;AUXILIAR DE SERVIÇOS GERAIS;mar/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1686;AUXILIAR DE SERVIÇOS GERAIS;mar/20;233;Desc.Copart. Unimed;Desconto;19,74
1686;AUXILIAR DE SERVIÇOS GERAIS;mar/20;246;Desc.Titular OdontoPrev;Desconto;22,04
1686;AUXILIAR DE SERVIÇOS GERAIS;mar/20;247;Desc. Depend. OdontoPrev;Desconto;22,04
1686;AUXILIAR DE SERVIÇOS GERAIS;mar/20;1951;Insalubridade;Provento;219,75
1686;AUXILIAR DE SERVIÇOS GERAIS;mar/20;2000;INSS;Desconto;105,46
1686;AUXILIAR DE SERVIÇOS GERAIS;mar/20;2453;Vale Transporte;Desconto;65,91
1686;AUXILIAR DE SERVIÇOS GERAIS;mar/20;2470;Desconto Alimentação;Desconto;1,5
1686;AUXILIAR DE SERVIÇOS GERAIS;mar/20;2478;Desconto Refeição;Desconto;2,5
1686;AUXILIAR DE SERVIÇOS GERAIS;mar/20;2500;FGTS;Outros;105,46
1686;AUXILIAR DE SERVIÇOS GERAIS;mar/20;909091;GPS parte empresa;;263,65
1686;AUXILIAR DE SERVIÇOS GERAIS;mar/20;909092;GPS Terceiros;;76,46
1686;AUXILIAR DE SERVIÇOS GERAIS;mar/20;909093;GPS Acidente Trabalho;;36,3
1693;AUXILIAR DE SERVIÇOS GERAIS;mar/20;1;Horas Normais;Provento;1.025,28
