Matricula ; Cargo ; Mês Pag. ; Evento ; Descrição ; Tipo ; Valor
1182;VENDEDOR INTERNACIONAL;abr/20;1;Horas Normais;Provento;6.596,15
1182;VENDEDOR INTERNACIONAL;abr/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1182;VENDEDOR INTERNACIONAL;abr/20;249;Subs. Empresa Alimentação;Outros;300
1182;VENDEDOR INTERNACIONAL;abr/20;2000;INSS;Desconto;713,08
1182;VENDEDOR INTERNACIONAL;abr/20;2004;IRRF;Desconto;748,48
1182;VENDEDOR INTERNACIONAL;abr/20;2453;Vale Transporte;Desconto;149,6
1182;VENDEDOR INTERNACIONAL;abr/20;2470;Desconto Alimentação;Desconto;1,5
1182;VENDEDOR INTERNACIONAL;abr/20;2478;Desconto Refeição;Desconto;2,5
1182;VENDEDOR INTERNACIONAL;abr/20;2500;FGTS;Outros;527,69
1182;VENDEDOR INTERNACIONAL;abr/20;909091;GPS parte empresa;;1.319,23
1182;VENDEDOR INTERNACIONAL;abr/20;909092;GPS Terceiros;;382,58
1182;VENDEDOR INTERNACIONAL;abr/20;909093;GPS Acidente Trabalho;;181,64
1703;ASS. COMERCIAL EXPORTACAO;abr/20;1;Horas Normais;Provento;2.597,33
1703;ASS. COMERCIAL EXPORTACAO;abr/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1703;ASS. COMERCIAL EXPORTACAO;abr/20;2000;INSS;Desconto;233,3
1703;ASS. COMERCIAL EXPORTACAO;abr/20;2004;IRRF;Desconto;34,5
1703;ASS. COMERCIAL EXPORTACAO;abr/20;2470;Desconto Alimentação;Desconto;1,5
1703;ASS. COMERCIAL EXPORTACAO;abr/20;2478;Desconto Refeição;Desconto;2,5
1703;ASS. COMERCIAL EXPORTACAO;abr/20;2500;FGTS;Outros;207,78
1703;ASS. COMERCIAL EXPORTACAO;abr/20;909091;GPS parte empresa;;519,47
1703;ASS. COMERCIAL EXPORTACAO;abr/20;909092;GPS Terceiros;;150,65
1703;ASS. COMERCIAL EXPORTACAO;abr/20;909093;GPS Acidente Trabalho;;71,52
1040;SUPERVISOR DE SERVIÇOS CENTRAI;abr/20;1;Horas Normais;Provento;4.870,00
1040;SUPERVISOR DE SERVIÇOS CENTRAI;abr/20;226;Subs.Emp.Unimed Est. Enf.;Outros;625,4
1040;SUPERVISOR DE SERVIÇOS CENTRAI;abr/20;246;Desc.Titular OdontoPrev;Desconto;22,04
1040;SUPERVISOR DE SERVIÇOS CENTRAI;abr/20;249;Subs. Empresa Alimentação;Outros;300
1040;SUPERVISOR DE SERVIÇOS CENTRAI;abr/20;2000;INSS;Desconto;540,73
1040;SUPERVISOR DE SERVIÇOS CENTRAI;abr/20;2004;IRRF;Desconto;295,3
1040;SUPERVISOR DE SERVIÇOS CENTRAI;abr/20;2469;Farmácia;Desconto;54,62
1040;SUPERVISOR DE SERVIÇOS CENTRAI;abr/20;2470;Desconto Alimentação;Desconto;1,5
1040;SUPERVISOR DE SERVIÇOS CENTRAI;abr/20;2478;Desconto Refeição;Desconto;2,5
1040;SUPERVISOR DE SERVIÇOS CENTRAI;abr/20;2500;FGTS;Outros;389,6
1040;SUPERVISOR DE SERVIÇOS CENTRAI;abr/20;909091;GPS parte empresa;;974
1040;SUPERVISOR DE SERVIÇOS CENTRAI;abr/20;909092;GPS Terceiros;;282,46
1040;SUPERVISOR DE SERVIÇOS CENTRAI;abr/20;909093;GPS Acidente Trabalho;;134,11
1647;AUXILIAR DE SERVIÇOS GERAIS;abr/20;1;Horas Normais;Provento;1.098,51
1647;AUXILIAR DE SERVIÇOS GERAIS;abr/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1647;AUXILIAR DE SERVIÇOS GERAIS;abr/20;1951;Insalubridade;Provento;219,75
1647;AUXILIAR DE SERVIÇOS GERAIS;abr/20;2000;INSS;Desconto;102,84
1647;AUXILIAR DE SERVIÇOS GERAIS;abr/20;2453;Vale Transporte;Desconto;65,91
1647;AUXILIAR DE SERVIÇOS GERAIS;abr/20;2457;Desc. Hrs Atraso ;Desconto;1,33
1647;AUXILIAR DE SERVIÇOS GERAIS;abr/20;2469;Farmácia;Desconto;181,93
1647;AUXILIAR DE SERVIÇOS GERAIS;abr/20;2470;Desconto Alimentação;Desconto;1,5
1647;AUXILIAR DE SERVIÇOS GERAIS;abr/20;2478;Desconto Refeição;Desconto;2,5
1647;AUXILIAR DE SERVIÇOS GERAIS;abr/20;2500;FGTS;Outros;105,35
1647;AUXILIAR DE SERVIÇOS GERAIS;abr/20;909091;GPS parte empresa;;263,39
1647;AUXILIAR DE SERVIÇOS GERAIS;abr/20;909092;GPS Terceiros;;76,38
1647;AUXILIAR DE SERVIÇOS GERAIS;abr/20;909093;GPS Acidente Trabalho;;36,26
1686;AUXILIAR DE SERVIÇOS GERAIS;abr/20;1;Horas Normais;Provento;1.025,28
