Matricula ; Cargo ; Mês Pag. ; Evento ; Descrição ; Tipo ; Valor
1182;RESPONSAVEL DE VENDAS INTERNAC;jul/20;1;Horas Normais;Provento;6.596,15
1182;RESPONSAVEL DE VENDAS INTERNAC;jul/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1182;RESPONSAVEL DE VENDAS INTERNAC;jul/20;233;Desc.Copart. Unimed;Desconto;18,33
1182;RESPONSAVEL DE VENDAS INTERNAC;jul/20;249;Subs. Empresa Alimentação;Outros;300
1182;RESPONSAVEL DE VENDAS INTERNAC;jul/20;2000;INSS;Desconto;713,08
1182;RESPONSAVEL DE VENDAS INTERNAC;jul/20;2004;IRRF;Desconto;748,48
1182;RESPONSAVEL DE VENDAS INTERNAC;jul/20;2453;Vale Transporte;Desconto;136
1182;RESPONSAVEL DE VENDAS INTERNAC;jul/20;2470;Desconto Alimentação;Desconto;1,5
1182;RESPONSAVEL DE VENDAS INTERNAC;jul/20;2478;Desconto Refeição;Desconto;2,5
1182;RESPONSAVEL DE VENDAS INTERNAC;jul/20;2500;FGTS;Outros;527,69
1182;RESPONSAVEL DE VENDAS INTERNAC;jul/20;909091;GPS parte empresa;;1.319,23
1182;RESPONSAVEL DE VENDAS INTERNAC;jul/20;909092;GPS Terceiros;;217,67
1182;RESPONSAVEL DE VENDAS INTERNAC;jul/20;909093;GPS Acidente Trabalho;;181,64
1703;ASS. COMERCIAL EXPORTACAO;jul/20;1;Horas Normais;Provento;2.510,75
1703;ASS. COMERCIAL EXPORTACAO;jul/20;14;Hrs Atestado até 15 dias;Provento;86,58
1703;ASS. COMERCIAL EXPORTACAO;jul/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1703;ASS. COMERCIAL EXPORTACAO;jul/20;2000;INSS;Desconto;233,3
1703;ASS. COMERCIAL EXPORTACAO;jul/20;2004;IRRF;Desconto;34,5
1703;ASS. COMERCIAL EXPORTACAO;jul/20;2470;Desconto Alimentação;Desconto;1,5
1703;ASS. COMERCIAL EXPORTACAO;jul/20;2478;Desconto Refeição;Desconto;2,5
1703;ASS. COMERCIAL EXPORTACAO;jul/20;2500;FGTS;Outros;207,78
1703;ASS. COMERCIAL EXPORTACAO;jul/20;2519;Diferenças SEFIP;Outros;0,01
1703;ASS. COMERCIAL EXPORTACAO;jul/20;909091;GPS parte empresa;;519,47
1703;ASS. COMERCIAL EXPORTACAO;jul/20;909092;GPS Terceiros;;85,71
1703;ASS. COMERCIAL EXPORTACAO;jul/20;909093;GPS Acidente Trabalho;;71,52
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jul/20;1;Horas Normais;Provento;4.870,00
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jul/20;226;Subs.Emp.Unimed Est. Enf.;Outros;625,4
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jul/20;246;Desc.Titular OdontoPrev;Desconto;22,04
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jul/20;249;Subs. Empresa Alimentação;Outros;300
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jul/20;2000;INSS;Desconto;540,73
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jul/20;2004;IRRF;Desconto;295,3
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jul/20;2469;Farmácia;Desconto;57,9
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jul/20;2470;Desconto Alimentação;Desconto;1,5
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jul/20;2478;Desconto Refeição;Desconto;2,5
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jul/20;2500;FGTS;Outros;389,6
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jul/20;909091;GPS parte empresa;;974
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jul/20;909092;GPS Terceiros;;160,71
1040;SUPERVISOR DE SERVIÇOS CENTRAI;jul/20;909093;GPS Acidente Trabalho;;134,11
1647;AUXILIAR DE SERVIÇOS GERAIS;jul/20;1;Horas Normais;Provento;915,43
1647;AUXILIAR DE SERVIÇOS GERAIS;jul/20;14;Hrs Atestado até 15 dias;Provento;183,09
1647;AUXILIAR DE SERVIÇOS GERAIS;jul/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1647;AUXILIAR DE SERVIÇOS GERAIS;jul/20;233;Desc.Copart. Unimed;Desconto;1,41
1647;AUXILIAR DE SERVIÇOS GERAIS;jul/20;1951;Insalubridade;Provento;219,75
1647;AUXILIAR DE SERVIÇOS GERAIS;jul/20;2000;INSS;Desconto;102,02
1647;AUXILIAR DE SERVIÇOS GERAIS;jul/20;2457;Desc. Hrs Atraso ;Desconto;10,4
1647;AUXILIAR DE SERVIÇOS GERAIS;jul/20;2469;Farmácia;Desconto;184,8
