Matricula ; Cargo ; Mês Pag. ; Evento ; Descrição ; Tipo ; Valor
1182;VENDEDOR INTERNACIONAL;mai/20;1;Horas Normais;Provento;6.596,15
1182;VENDEDOR INTERNACIONAL;mai/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1182;VENDEDOR INTERNACIONAL;mai/20;233;Desc.Copart. Unimed;Desconto;1,41
1182;VENDEDOR INTERNACIONAL;mai/20;2000;INSS;Desconto;713,08
1182;VENDEDOR INTERNACIONAL;mai/20;2004;IRRF;Desconto;748,48
1182;VENDEDOR INTERNACIONAL;mai/20;2453;Vale Transporte;Desconto;129,2
1182;VENDEDOR INTERNACIONAL;mai/20;2470;Desconto Alimentação;Desconto;1,5
1182;VENDEDOR INTERNACIONAL;mai/20;2478;Desconto Refeição;Desconto;2,5
1182;VENDEDOR INTERNACIONAL;mai/20;2500;FGTS;Outros;527,69
1182;VENDEDOR INTERNACIONAL;mai/20;909091;GPS parte empresa;;1.319,23
1182;VENDEDOR INTERNACIONAL;mai/20;909092;GPS Terceiros;;217,67
1182;VENDEDOR INTERNACIONAL;mai/20;909093;GPS Acidente Trabalho;;181,64
1703;ASS. COMERCIAL EXPORTACAO;mai/20;1;Horas Normais;Provento;2.597,33
1703;ASS. COMERCIAL EXPORTACAO;mai/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1703;ASS. COMERCIAL EXPORTACAO;mai/20;2000;INSS;Desconto;233,3
1703;ASS. COMERCIAL EXPORTACAO;mai/20;2004;IRRF;Desconto;34,5
1703;ASS. COMERCIAL EXPORTACAO;mai/20;2470;Desconto Alimentação;Desconto;1,5
1703;ASS. COMERCIAL EXPORTACAO;mai/20;2478;Desconto Refeição;Desconto;2,5
1703;ASS. COMERCIAL EXPORTACAO;mai/20;2500;FGTS;Outros;207,78
1703;ASS. COMERCIAL EXPORTACAO;mai/20;2519;Diferenças SEFIP;Outros;0,01
1703;ASS. COMERCIAL EXPORTACAO;mai/20;909091;GPS parte empresa;;519,47
1703;ASS. COMERCIAL EXPORTACAO;mai/20;909092;GPS Terceiros;;85,71
1703;ASS. COMERCIAL EXPORTACAO;mai/20;909093;GPS Acidente Trabalho;;71,52
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mai/20;1;Horas Normais;Provento;4.870,00
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mai/20;226;Subs.Emp.Unimed Est. Enf.;Outros;625,4
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mai/20;233;Desc.Copart. Unimed;Desconto;1,41
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mai/20;246;Desc.Titular OdontoPrev;Desconto;22,04
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mai/20;2000;INSS;Desconto;540,73
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mai/20;2004;IRRF;Desconto;295,3
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mai/20;2469;Farmácia;Desconto;54,63
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mai/20;2470;Desconto Alimentação;Desconto;1,5
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mai/20;2478;Desconto Refeição;Desconto;2,5
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mai/20;2500;FGTS;Outros;389,6
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mai/20;909091;GPS parte empresa;;974
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mai/20;909092;GPS Terceiros;;160,71
1040;SUPERVISOR DE SERVIÇOS CENTRAI;mai/20;909093;GPS Acidente Trabalho;;134,11
1647;AUXILIAR DE SERVIÇOS GERAIS;mai/20;1;Horas Normais;Provento;1.098,51
1647;AUXILIAR DE SERVIÇOS GERAIS;mai/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1647;AUXILIAR DE SERVIÇOS GERAIS;mai/20;1951;Insalubridade;Provento;219,75
1647;AUXILIAR DE SERVIÇOS GERAIS;mai/20;2000;INSS;Desconto;102,96
1647;AUXILIAR DE SERVIÇOS GERAIS;mai/20;2453;Vale Transporte;Desconto;65,91
1647;AUXILIAR DE SERVIÇOS GERAIS;mai/20;2469;Farmácia;Desconto;126,96
1647;AUXILIAR DE SERVIÇOS GERAIS;mai/20;2470;Desconto Alimentação;Desconto;1,5
1647;AUXILIAR DE SERVIÇOS GERAIS;mai/20;2478;Desconto Refeição;Desconto;2,5
1647;AUXILIAR DE SERVIÇOS GERAIS;mai/20;2500;FGTS;Outros;105,46
1647;AUXILIAR DE SERVIÇOS GERAIS;mai/20;909091;GPS parte empresa;;263,65
1647;AUXILIAR DE SERVIÇOS GERAIS;mai/20;909092;GPS Terceiros;;43,5
1647;AUXILIAR DE SERVIÇOS GERAIS;mai/20;909093;GPS Acidente Trabalho;;36,3
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;226;Subs.Emp.Unimed Est. Enf.;Outros;312,7
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;246;Desc.Titular OdontoPrev;Desconto;22,04
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;247;Desc. Depend. OdontoPrev;Desconto;22,04
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;651;Férias Proporc.Rescisão;Provento;384,48
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;654;Insalubridade Férias Resc;Provento;69,66
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;659;1/3 Férias Rescisão;Provento;151,38
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;850;13o Salário Proporc.Resc;Provento;288,36
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;853;Insalubridade 13o Proporc;Provento;52,25
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;900;13o Indenizado Rescisão;Provento;192,24
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;903;Insalubridade 13o Inden.;Provento;34,83
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;950;Aviso Prévio Indenizado;Provento;1.153,44
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;953;Insalubridade A.P.I;Provento;209
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;1100;Gratificação Rescisão;Provento;384,48
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;1400;Férias Indenizad.Rescisão;Provento;96,12
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;1403;Insalubr.Férias Ind.Resc;Provento;17,42
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;1408;1/3 Férias Ind.Rescisao;Provento;37,85
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;1550;Saldo de Salário;Provento;884,3
1686;AUXILIAR DE SERVIÇOS GERAIS;mai/20;1555;FGTS Rescisão Depositado;Outros;220,83
